table_id,result
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,bankerSuper6
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,bankerSuper6
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,tie
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,tie
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,tie
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,banker
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,tie
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
14f41f16-6324-43b0-be0d-f5c1e3a6ee27,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,bankerSuper6
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,tie
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,tie
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,bankerSuper6
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,tie
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,bankerSuper6
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,banker
bff5ca13-b6b9-48fc-9864-0fb29c2194ff,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,bankerSuper6
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,tie
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,bankerSuper6
61a35741-c534-441c-a274-f1c360500138,player
61a35741-c534-441c-a274-f1c360500138,banker
61a35741-c534-441c-a274-f1c360500138,tie
61a35741-c534-441c-a274-f1c360500138,banker
